序号,ArXiv ID,标题,作者,领域,评分,发布日期,标签,摘要
1,2607.18235v1,Automated Discovery Has No Universally Superior Harness,"Akshat Gupta, Jermaine Lei, Alexander Lu",AI_Agent,5.0,N/A,,Autonomous discovery systems such as OpenEvolve and TTT-Discover are often used as general-purpose h
2,2607.18232v1,"It's Not What You Say, It's How You Say It: Evaluating LLM Responses to Expressions of Belief","Kevin Du, Clara Kümpel, Michelle Wastl",AI_Agent,5.0,N/A,,"Users frequently express their beliefs to large language models (LLMs). In some situations, the LLM "
3,2607.18222v1,HyperIso: A general BSM calculator for flavour observables,"T. Reymermier, N. Fardeau, F. Mahmoudi",AI_Agent,5.0,N/A,,"We present HyperIso, a new standalone program for the evaluation of flavour physics observables acro"
4,2607.18220v1,Nonexistence of Simultaneously EF1 and Pareto Optimal Allocations for Submodular Valuations,"Harish Chandramouleeswaran, Prajakta Nimbhorkar",AI_Agent,5.0,N/A,,The existence of allocations of indivisible goods that are simultaneously fair (envy-free up to one 
5,2607.18218v1,GigaPath-Flash and GigaTIME-Flash: Efficient Pathology Foundation Models for Whole-Slide and Tumor Microenvironment Analysis,"Naoto Usuyama, Jeya Maria Jose Valanarasu, Sicong Yao",AI_Agent,5.0,N/A,,"Foundation models have emerged as a driving force in computational pathology, with the potential to "
6,2607.18213v1,SWE-Pruner Pro: The Coder LLM Already Knows What to Prune,"Yuhang Wang, Yuling Shi, Shaoqiu Zhang",AI_Agent,5.0,N/A,,Pruning long context for coding agents has been a vital technology for efficient context management.
7,2607.18192v1,Risk-sensitive exit-time control for stochastic differential equations with path-dependent coefficients,"David Criens, Fabian Fuchs",AI_Agent,5.0,N/A,,"In this work, we study small-noise asymptotics of risk-sensitive exit-time control problems governed"
8,2607.18190v1,Audio Cross Verification Using Dual Alignment Likelihood Ratio Test,"Heidi Lei, Arm Wonghirundacha, Irmak Bukey",AI_Agent,5.0,N/A,,This paper explores a way to verify that audio has not been maliciously tampered in a specific conte
9,2607.18181v1,VEHBench: A Stage-Local Diagnostic Benchmark for LLM-Assisted Vibration Energy Harvester Design,"Depeng Su, Yuyu Luo, Guobiao Hu",AI_Agent,5.0,N/A,,Battery-free Internet of Things (IoT) requires iterative design of vibration energy harvesters (VEHs
10,2607.18176v1,Per Astronomix ad Astra: High-Order Differentiable (Magneto)hydrodynamics with Energy-Conserving Self-Gravity,"Leonard Storcks, Nils Thuerey, Tobias Buck",AI_Agent,5.0,N/A,,"We present astronomix, a performant differentiable (magneto)hydrodynamics simulator written in Pytho"
11,2607.18199v1,PPL-Factory: Task-Aware and Budget-Aware Data Selection from Language Modeling to Reasoning,"Hang Zhang, Warren J. Gross",AI_Agent,5.0,N/A,,Not all training samples contribute equally to large language model fine-tuning. Selecting informati
